Video Path,Transcription
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia97_merged.mp4,"0.0-3.3 seconds. Oh Monica, it's so beautiful! 3.3-5.0 seconds. I know! 5.0-6.6 seconds. But you've got one. 6.6-11.0 seconds. Because the house is sitting on an ancient Indian burial ground. 11.0-14.4 seconds. Wait a minute, the house was built on radioactive waste 14.4-17.9 seconds. and an ancient Indian burial ground. 17.9-20.4 seconds. That would never happen. 20.4-25.2 seconds. Maybe it's so big because the house was built on radioactive waste. 25.2-26.8 seconds. Look at it! 26.9-31.2 seconds. Oh, wall paper's a little faded, that's okay. 31.2-32.8 seconds. Carbets a little loose. 32.8-34.2 seconds. Harbler floors!"
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia27_merged.mp4,"0.0-2.4 seconds. Okay, okay. It's James Brolin. 2.4-4.8 seconds. LAUGHTER 4.8-7.0 seconds. James Brolin is the father of my baby."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia25_merged.mp4,"0.0-5.2 seconds. Okay, this is the face of a person who, you know, doesn't trust a person. 5.2-6.2 seconds. I'm sorry. 6.2-11.2 seconds. Sorry, Phoebe, it's just, well, just a little shorter than what we had discussed. 11.2-12.8 seconds. Would you relax? 12.8-14.6 seconds. I know what I am doing. 14.6-16.6 seconds. This is how he wears it."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia73_merged.mp4,"0.0-3.6 seconds. And shame on you, you should know better. Joy needs to work. 3.6-4.8 seconds. Now come on. 4.8-5.8 seconds. Hey."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia62_merged.mp4,"0.0-2.0 seconds. I know. 4.0-8.0 seconds. You know, just talking about it is getting me kind of... 8.0-10.0 seconds. Oh! Wow! 12.0-14.0 seconds. Huh! 15.0-17.0 seconds. Boy! 18.0-21.0 seconds. Someone's been doing their homework! 21.0-23.0 seconds. So, honey, this... 24.0-26.0 seconds. This... three-some thing. 26.0-29.0 seconds. I mean, how are you gonna start to find..."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia40_merged.mp4,"0.0-1.0 seconds. What? 2.0-6.0 seconds. What? I just figured since you're pregnant, you're not going to be seeing people. 6.0-8.0 seconds. The photo is a complete idiot. 8.0-9.0 seconds. Hey, I'm with you. 11.0-13.0 seconds. You can even ask me if I thought you'd go out with him. 14.0-17.0 seconds. I didn't tell him. I didn't know if you were telling people. 17.0-19.0 seconds. This back when I thought cash was still people."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia76_merged.mp4,"0.0-7.0 seconds. You know, but of course like after that you can't possibly think of anything else and you can't you know stop what you're doing so it's kind of like your 8.0-9.0 seconds. M-m-m 10.0-14.0 seconds. You're telling me about your mouth? What is the matter with you? 14.0-18.0 seconds. You know stop what you're doing so it's kind of like your 19.0-21.0 seconds. You know 22.0-28.0 seconds. And you get all these like mental images in your brain, you know like Elmick Fiercen or that girl the Xerox"
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia94_merged.mp4,"0.0-5.0 seconds. Ross, you are being silly. I've tried. It's no big deal. Come on, just taste it."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia83_merged.mp4,"0.0-4.0 seconds. Yeah, but I'm starting to think that we can handle it. 4.0-5.0 seconds. We're good."
/root/autodl-tmp/0new/omni-time/audio/merged_videos/dia89_merged.mp4,"0.0-5.0 seconds. No, it's just a good bone bruise. 5.0-7.0 seconds. Right here is the puncture wound from your ring."
